province,weather,temp_c,humidity_%,wind_km/h,pressure_mbar,AQI,PM2_5,PM10,O3,NO2,SO2,CO,PM25_was_unknown,date,comunidades
Albacete,Clear sky,14,88,9.3,1023,50.0,12.0,33.0,67.0,3.0,2.0,0.0,No,2022-11-13 11:00:00,Castilla-La Mancha
Alicante/Alacant,Few clouds,20,65,5.3,1021,17.0,4.0,5.0,35.0,2.0,3.0,0.1,No,2022-11-13 11:00:00,Alicante/Alacant
Almería,Clear sky,21,54,2.0,1020,23.0,5.5,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Andalucía
Asturias,Broken clouds,17,53,10.3,1016,53.0,13.0,30.0,23.0,14.0,11.0,0.6,No,2022-11-13 11:00:00,Asturias
Ávila,Few clouds,11,70,11.6,1020,1.0,4.1,Unknown,Unknown,3.0,2.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Badajoz,Clear sky,17,73,5.5,1021,57.0,15.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Extremadura
"Balears, Illes",Few clouds,20,78,5.5,1021,25.0,6.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,"Balears, Illes"
Barcelona,Scattered clouds,18,58,4.8,1021,57.0,15.0,19.0,26.0,17.5,2.0,200.0,No,2022-11-13 11:00:00,Cataluña
Burgos,Few clouds,13,62,14.1,1020,1.0,4.1,Unknown,Unknown,9.0,1.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Cáceres,Broken clouds,15,58,5.7,1020,2.0,4.1,Unknown,4.7,14.0,0.1,0.0,No,2022-11-13 11:00:00,Extremadura
Cádiz,Clear sky,18,77,7.4,1020,43.0,4.1,47.2,18.0,18.0,2.0,0.6,No,2022-11-13 11:00:00,Andalucía
Cantabria,Scattered clouds,18,58,10.9,1016,10.0,2.5,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Cantabria
Castellón/Castelló,Clear sky,19,68,2.3,1021,2.0,4.1,Unknown,6.0,14.0,3.0,Unknown,No,2022-11-13 11:00:00,Comunidad Valenciana
Ciudad Real,Clear sky,15,56,1.3,1021,37.0,9.0,Unknown,Unknown,7.0,2.0,Unknown,No,2022-11-13 11:00:00,Castilla-La Mancha
Córdoba,Clear sky,19,48,3.6,1021,58.0,15.3,31.5,17.0,8.0,3.0,0.4,No,2022-11-13 11:00:00,Andalucía
"Coruña, A",Clear sky,17,64,20.6,1014,59.0,16.0,20.0,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Galicia
Cuenca,Clear sky,13,67,9.3,1021,57.0,15.0,26.0,Unknown,Unknown,2.0,Unknown,No,2022-11-13 11:00:00,Castilla-La Mancha
Girona,Few clouds,12,100,0.0,1021,41.0,10.0,18.0,Unknown,Unknown,1.0,Unknown,No,2022-11-13 11:00:00,Cataluña
Granada,Clear sky,16,51,0.0,1018,53.0,13.2,33.5,14.0,31.0,9.0,0.2,No,2022-11-13 11:00:00,Andalucía
Guadalajara,Clear sky,13,71,7.0,1021,50.0,12.0,21.0,Unknown,10.0,6.0,0.0,No,2022-11-13 11:00:00,Castilla-La Mancha
Huelva,Few clouds,18,68,13.2,1020,29.0,7.0,12.2,22.0,3.5,1.0,0.2,No,2022-11-13 11:00:00,Andalucía
Huesca,Clear sky,14,68,3.7,1021,1.0,4.1,Unknown,Unknown,7.0,1.0,Unknown,No,2022-11-13 11:00:00,Aragón
Jaén,Clear sky,18,38,3.0,1020,31.0,6.4,22.8,77.0,3.0,4.0,0.3,No,2022-11-13 11:00:00,Andalucía
León,Broken clouds,10,87,5.5,1021,21.0,5.0,Unknown,Unknown,18.0,2.5,Unknown,No,2022-11-13 11:00:00,Castilla y León
Lleida,Clear sky,16,63,3.1,1021,63.0,18.0,27.0,18.0,3.5,1.0,Unknown,No,2022-11-13 11:00:00,Cataluña
Lugo,Clear sky,14,67,7.9,1016,63.0,18.0,Unknown,Unknown,Unknown,1.8,Unknown,No,2022-11-13 11:00:00,Galicia
Madrid,Few clouds,13,73,7.1,1021,37.0,9.0,16.0,41.0,19.0,1.0,Unknown,No,2022-11-13 11:00:00,Madrid
Málaga,Clear sky,21,57,5.1,1021,49.0,11.8,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Andalucía
Murcia,Scattered clouds,19,72,1.6,1021,53.0,13.0,23.0,30.0,15.0,5.0,Unknown,No,2022-11-13 11:00:00,Murcia
Navarra,Clear sky,15,73,8.2,1020,21.0,5.0,7.0,21.0,17.0,3.0,Unknown,No,2022-11-13 11:00:00,Navarra
Ourense,Clear sky,16,71,9.8,1017,21.0,5.0,15.0,5.5,4.3,3.0,Unknown,No,2022-11-13 11:00:00,Galicia
Palencia,Few clouds,12,68,9.9,1020,25.0,6.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Castilla y León
"Palmas, Las",Broken clouds,24,50,8.7,1019,70.0,21.0,Unknown,32.0,24.0,Unknown,Unknown,No,2022-11-13 11:00:00,Canarias
